Country name,Subregion (UN geoscheme),HDI (2022),Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,
Finland,Northern Europe,0.942,7.741,7.815,7.667,1.844,1.572,0.695,0.859,0.142,0.546,2.082,
Denmark,Northern Europe,0.952,7.583,7.665,7.500,1.908,1.520,0.699,0.823,0.204,0.548,1.881,
Iceland,Northern Europe,0.959,7.525,7.618,7.433,1.881,1.617,0.718,0.819,0.258,0.182,2.050,
Sweden,Northern Europe,0.952,7.344,7.422,7.267,1.878,1.501,0.724,0.838,0.221,0.524,1.658,
Israel,West Asia,0.915,7.341,7.405,7.277,1.803,1.513,0.740,0.641,0.153,0.193,2.298,
Netherlands,Western Europe,0.946,7.319,7.383,7.256,1.901,1.462,0.706,0.725,0.247,0.372,1.906,
Norway,Northern Europe,0.966,7.302,7.389,7.215,1.952,1.517,0.704,0.835,0.224,0.484,1.586,
Luxembourg,Western Europe,0.927,7.122,7.213,7.031,2.141,1.355,0.708,0.801,0.146,0.432,1.540,
Switzerland,Western Europe,0.967,7.060,7.147,6.973,1.970,1.425,0.747,0.759,0.173,0.498,1.488,
Australia,Oceania,0.946,7.057,7.141,6.973,1.854,1.461,0.692,0.756,0.225,0.323,1.745,
New Zealand,Oceania,0.939,7.029,7.105,6.954,1.810,1.527,0.673,0.746,0.226,0.480,1.567,
Costa Rica,Central America,0.806,6.955,7.051,6.860,1.561,1.373,0.661,0.797,0.109,0.123,2.333,
Kuwait,West Asia,0.847,6.951,7.060,6.843,1.845,1.364,0.661,0.827,0.200,0.172,1.884,
Austria,Western Europe,0.926,6.905,6.986,6.824,1.885,1.336,0.696,0.703,0.214,0.305,1.766,
Canada,Northern America,0.935,6.900,6.984,6.815,1.840,1.459,0.701,0.730,0.230,0.368,1.572,
Belgium,Western Europe,0.942,6.894,6.961,6.827,1.868,1.440,0.690,0.729,0.170,0.311,1.686,
Ireland,Northern Europe,0.950,6.838,6.927,6.749,2.129,1.390,0.700,0.758,0.205,0.418,1.239,
Czechia,Eastern Europe,0.895,6.822,6.903,6.741,1.783,1.511,0.638,0.787,0.177,0.068,1.858,
Lithuania,Northern Europe,0.879,6.818,6.896,6.739,1.766,1.454,0.598,0.533,0.044,0.116,2.307,
United Kingdom,Northern Europe,0.940,6.749,6.833,6.665,1.822,1.326,0.672,0.713,0.267,0.351,1.598,
Slovenia,Southern Europe,0.926,6.743,6.843,6.643,1.786,1.502,0.695,0.789,0.157,0.131,1.683,
United Arab Emirates,West Asia,0.937,6.733,6.823,6.643,1.983,1.164,0.563,0.815,0.209,0.258,1.741,
United States,Northern America,0.927,6.725,6.818,6.631,1.939,1.392,0.542,0.586,0.223,0.169,1.873,
Germany,Western Europe,0.950,6.719,6.815,6.622,1.871,1.390,0.702,0.700,0.174,0.368,1.513,
Mexico,Central America,0.781,6.678,6.781,6.575,1.521,1.241,0.544,0.722,0.086,0.127,2.437,
Uruguay,South America,0.830,6.611,6.696,6.527,1.596,1.431,0.592,0.775,0.106,0.220,1.891,
France,Western Europe,0.910,6.609,6.685,6.533,1.818,1.348,0.727,0.650,0.112,0.281,1.672,
Saudi Arabia,West Asia,0.875,6.594,6.707,6.480,1.842,1.361,0.511,0.787,0.114,0.188,1.790,
Kosovo,Eastern Europe,,6.561,6.667,6.455,1.364,1.277,0.599,0.739,0.254,0.073,2.255,
Singapore,Southeast Asia,0.949,6.523,6.605,6.440,2.118,1.361,0.769,0.743,0.168,0.575,0.788,
Taiwan Province of China,East Asia,,6.503,6.597,6.410,1.842,1.346,0.650,0.649,0.068,0.202,1.747,
Romania,Eastern Europe,0.827,6.491,6.592,6.390,1.699,1.236,0.583,0.717,0.041,0.006,2.210,
El Salvador,Central America,0.674,6.469,6.599,6.338,1.265,1.080,0.549,0.816,0.083,0.253,2.424,
Estonia,Northern Europe,0.899,6.448,6.524,6.371,1.752,1.527,0.657,0.805,0.166,0.401,1.138,
Poland,Eastern Europe,0.881,6.442,6.513,6.370,1.738,1.417,0.639,0.600,0.081,0.175,1.791,
Spain,Southern Europe,0.911,6.421,6.502,6.339,1.766,1.471,0.729,0.619,0.119,0.177,1.540,
Serbia,Southern Europe,0.805,6.411,6.522,6.300,1.538,1.391,0.585,0.663,0.200,0.101,1.932,
Chile,South America,0.860,6.360,6.448,6.273,1.616,1.369,0.673,0.651,0.117,0.075,1.858,
Panama,Central America,0.820,6.358,6.489,6.227,1.702,1.392,0.633,0.720,0.063,0.043,1.806,
Malta,Southern Europe,0.915,6.346,6.430,6.261,1.827,1.444,0.707,0.727,0.250,0.125,1.267,
Italy,Southern Europe,0.906,6.324,6.436,6.211,1.800,1.328,0.720,0.513,0.112,0.074,1.777,
Guatemala,Central America,0.629,6.287,6.457,6.117,1.260,1.169,0.467,0.735,0.105,0.078,2.473,
Nicaragua,Central America,0.669,6.284,6.433,6.135,1.097,1.263,0.542,0.793,0.133,0.251,2.203,
Brazil,South America,0.760,6.272,6.390,6.154,1.430,1.269,0.548,0.685,0.130,0.142,2.068,
Slovakia,Eastern Europe,0.855,6.257,6.332,6.182,1.706,1.540,0.638,0.566,0.096,0.058,1.653,
Latvia,Northern Europe,0.879,6.234,6.314,6.155,1.700,1.508,0.564,0.666,0.127,0.078,1.590,
Uzbekistan,Central Asia,0.727,6.195,6.303,6.087,1.212,1.394,0.539,0.835,0.251,0.215,1.749,
Argentina,South America,0.849,6.188,6.306,6.070,1.562,1.381,0.585,0.681,0.087,0.080,1.812,
Kazakhstan,Central Asia,0.802,6.188,6.278,6.097,1.622,1.457,0.556,0.733,0.149,0.120,1.551,
Cyprus,West Asia,0.907,6.068,6.182,5.954,1.794,1.217,0.744,0.529,0.124,0.049,1.611,
Japan,East Asia,0.920,6.060,6.144,5.976,1.786,1.354,0.785,0.632,0.023,0.219,1.261,
South Korea,East Asia,0.929,6.058,6.148,5.968,1.815,1.178,0.770,0.555,0.126,0.158,1.456,
Philippines,Southeast Asia,0.710,6.048,6.166,5.929,1.232,1.146,0.441,0.826,0.099,0.136,2.167,
Vietnam,Southeast Asia,0.726,6.043,6.138,5.948,1.331,1.267,0.539,0.843,0.094,0.160,1.810,
Portugal,Southern Europe,0.874,6.030,6.134,5.925,1.728,1.368,0.699,0.757,0.047,0.035,1.397,
Hungary,Eastern Europe,0.851,6.017,6.124,5.910,1.722,1.528,0.596,0.581,0.123,0.067,1.400,
Paraguay,South America,0.731,5.977,6.085,5.868,1.398,1.408,0.549,0.788,0.131,0.065,1.637,
Thailand,Southeast Asia,0.803,5.976,6.094,5.858,1.484,1.347,0.620,0.756,0.283,0.024,1.463,
Malaysia,Southeast Asia,0.807,5.975,6.078,5.872,1.646,1.143,0.540,0.829,0.226,0.119,1.473,
China,East Asia,0.788,5.973,6.061,5.885,1.497,1.239,0.629,0.704,0.132,0.164,1.608,
Honduras,Central America,0.624,5.968,6.114,5.822,1.091,1.035,0.502,0.720,0.175,0.081,2.364,
Bahrain,West Asia,0.888,5.959,6.153,5.766,,,,,,,,
Croatia,Southern Europe,0.878,5.942,6.047,5.837,1.710,1.445,0.637,0.469,0.064,0.043,1.574,
Greece,Southern Europe,0.893,5.934,6.027,5.840,1.684,1.276,0.696,0.337,0.018,0.093,1.830,
Bosnia and Herzegovina,Southern Europe,0.779,5.877,5.979,5.775,1.465,1.318,0.587,0.621,0.246,0.000,1.640,
Libya,North Africa,0.746,5.866,5.987,5.746,1.526,1.100,0.550,0.592,0.111,0.204,1.785,
Jamaica,Caribbean,0.706,5.842,6.059,5.624,1.280,1.324,0.567,0.647,0.089,0.028,1.907,
Peru,South America,0.762,5.841,5.946,5.736,1.371,1.180,0.662,0.615,0.078,0.029,1.907,
Dominican Republic,Caribbean,0.766,5.823,5.967,5.679,1.517,1.272,0.511,0.730,0.086,0.196,1.512,
Mauritius,East Africa,0.796,5.816,5.927,5.706,1.570,1.358,0.490,0.641,0.123,0.118,1.517,
Moldova,Eastern Europe,0.763,5.816,5.930,5.702,1.385,1.277,0.542,0.695,0.077,0.044,1.795,
Russia,Eastern Europe,0.821,5.785,5.859,5.712,1.642,1.351,0.531,0.551,0.138,0.121,1.451,
Bolivia,South America,0.698,5.784,5.895,5.674,1.217,1.179,0.488,0.719,0.100,0.061,2.020,
Ecuador,South America,0.765,5.725,5.850,5.599,1.315,1.151,0.640,0.606,0.087,0.078,1.846,
Kyrgyzstan,Central Asia,0.701,5.714,5.795,5.632,1.054,1.477,0.588,0.834,0.225,0.030,1.505,
Montenegro,Southern Europe,0.844,5.707,5.815,5.599,1.571,1.318,0.587,0.632,0.110,0.132,1.357,
